"ets","arima","rw","rwd","wn","theta","nn"
6.23091817009192,6.40541465166824,5.76148956158664,4.86900521919363,6.237751281078,6.5556918599511,6.21316155953931
0.879052602750988,0.879053484365263,0.879053484365263,0.858616518201912,3.00446863887972,0.815245682690237,3.48607849119473
6.82442651628083,7.15484924062611,4.88887140609355,4.34567300818736,7.38636818766987,6.44074523896714,9.21634876691434
1.23012771257741,1.99880647589896,1.23011782477341,0.826794561933759,1.91196768287101,1.20357288983564,2.14467405938928
1.34679106765104,2.16308213231459,3.07899461400359,0.611647217247344,15.6486402399217,1.57694526019261,1.43043041227078
2.83000073627496,2.96436564453156,4.574427166594,2.96436564453156,15.3408384717061,3.74870621129553,4.14059764407792
2.67339693277098,2.69644784613875,3.00706505740359,2.69644784613875,11.0411847989122,2.49549226654025,3.35302782739913
6.12705991750184,5.10341667531002,6.12708787218591,5.10341667531002,11.8854899984685,5.51709001873016,6.77131265976008
6.42086150368017,5.99145613612926,12.1183489096573,9.04638629284269,25.1170013351372,10.6348135195158,9.02876711009279
2.32372771179136,2.27016299162708,8.229030122476,4.85415425356244,20.9958528396463,6.63412267288036,3.30348189575606
1.60335900736861,0.678004790963158,1.60345189029665,1.91040248308146,2.16530833490471,1.61727357526823,3.41640535746914
3.71125045666433,2.58534179282282,3.50872451779571,2.58534179282282,15.311773226217,3.16719782692661,5.96831052071338
10.7071370837181,8.57037535039541,10.707035256045,8.57037535039541,17.4341712436473,9.85004474752743,7.2286394274805
54.6872410895897,53.2709692982109,54.4284067560508,52.1369214696152,64.7945244012474,53.7358663192852,55.4777938514215
2.27349165877786,1.6430748043316,3.00104248383104,1.6430748043316,9.39128596555454,2.17112093504033,3.83548086809744
0.754965563728248,0.930738225849612,0.930738225849612,1.67547999733286,3.28126566835204,0.91559190392296,2.02495125901787
1.87840384655301,1.79037147844201,2.87611069558714,1.79037147844201,9.55657002067843,2.16582970704189,2.88077138827679
1.41627948577905,1.53265604716367,1.98344911005265,1.644391702181,5.19626223250302,1.59042128352971,2.25905722641427
2.75541597935339,2.98751825888526,4.06736242053142,2.80014760405866,9.61733044695123,3.01386171390956,4.05059345383321
1.63856327198545,1.59886537442941,0.652652220747609,0.700436630984452,1.59886537442941,2.51038436058529,0.72449444648731
1.73629493706373,1.8240240479928,2.97860756985661,1.8240240479928,9.2182499549026,1.92643774035478,7.94319193626935
0.253870468100615,0.253870468100615,0.253870468100615,2.01625141046936,2.72174120252588,1.03213887990187,0.510763710937217
2.62468832852916,2.62445200887101,2.62445200887101,3.36530553873698,6.44626678357144,2.87410779560323,2.69523082966706
0.630094572441854,0.613643950610788,0.646459412780656,0.766696091601099,1.22689950745219,0.678331385364624,0.832722931222554
0.657949823131962,0.840383601183549,2.44097482443723,0.840383601183549,12.0968162766814,1.1291815975309,6.40443799304535
1.8469264187366,1.84706442508591,1.84706442508591,2.58505226493007,2.24029404543063,2.02895606949031,1.49276874066139
